Species,Country,Year,Area,X - Longitude,Y - Latidue,Depth (m),Substrate,Individual,Observation method,Source
Pterois miles,Greece,2017,Rodos: Haraki beach,28.094963,36.165959,0, ,5,underwater observation,Dimitriadis et al. 2020
Pterois miles,Greece,2017, ,28.2136,36.3323,15, ,5,Visual only,Katsanevakis et al. 2020
Pterois miles,Cyprus,2017,Pernera Beach Ayia Napa,33.982478,34.98121,4, ,5,Underwater photography with Scuba Dive,Dimitriadis et al. 2020
Pterois miles,Cyprus,2017,Protaras,34.072823,34.962666,10, ,4,Spear-fishing,Dimitriadis et al. 2020
Pterois miles,Greece,2017,Rodos: Kamiros,27.906101,36.350013,0, ,3, ,Dimitriadis et al. 2020
Pterois miles,Greece,2017,Rodos: Ladiko,28.207243,36.320292,25, ,3,Scuba diver,Dimitriadis et al. 2020
Pterois miles,Greece,2017,Kriti: Plakias Beach,24.392863,35.176425,8, ,2,Vet,Dimitriadis et al. 2020
Pterois miles,Greece,2017,Kriti,26.120299,35.205739,0, ,2, ,Dimitriadis et al. 2020
Pterois miles,Greece,2017,Astypalaia: Agios Vasileios,26.35356,36.548431,3, ,2, ,Dimitriadis et al. 2020
Pterois miles,Greece,2017,Rodos: Trianda,28.191172,36.423594,0, ,2, ,Dimitriadis et al. 2020
Pterois miles,Greece,2017,Rodos: Pefkos,28.238998,36.379768,4, ,2,Underwater Photography with Free Dive,Dimitriadis et al. 2020
Pterois miles,Greece,2017,Dodecanese islands,28.239012,36.379719,3, ,2, ,Dimitriadis et al. 2020
Pterois miles,Cyprus,2017, ,34.064,34.9562,32,Cave,2,visual only,Katsanevakis et al. 2020
Pterois miles,Cyprus,2017,Elvis Rock-Cyclops,34.076656,34.985971,14, ,2,Underwater photography with Scuba Dive,Dimitriadis et al. 2020
Pterois miles,Cyprus,2017,Cape Greco,34.089329,34.965143,4, ,2,Underwater Photography with Free Dive,Dimitriadis et al. 2020
Pterois miles,Greece,2017,Kriti:  ??????? ?????????? ??? ????????,0,0,0, ,1, ,Dimitriadis et al. 2020
Pterois miles,Greece,2017,Kriti: Prasonisia,22.9985862,35.474171,0, ,1, ,Dimitriadis et al. 2020
Pterois miles,Greece,2017,Kriti: Chania,24.01753,35.521888,0, ,1, ,Dimitriadis et al. 2020
Pterois miles,Greece,2017,Kriti,24.074731,35.19185,17,Rocky,1, ,Dimitriadis et al. 2020
Pterois miles,Greece,2017,Kriti,24.127259,35.195821,0, ,1, ,Dimitriadis et al. 2020
Pterois miles,Greece,2017,Kriti: Ammoudi beach,24.143457,35.191942,0, ,1,Recreational fisher,Dimitriadis et al. 2020
Pterois miles,Greece,2017,Kriti: Fragokastelo. Sfakia,24.227789,35.179752,0, ,1,Spearfisherman,Dimitriadis et al. 2020
Pterois miles,Greece,2017,Kriti,24.234275,35.176068,0, ,1, ,Dimitriadis et al. 2020
Pterois miles,Greece,2017,Kriti,24.390316,35.187566,0, ,1, ,Dimitriadis et al. 2020
Pterois miles,Greece,2017,Kriti: Plakias Beach,24.390978,35.187085,4, ,1,Underwater Photographer,Dimitriadis et al. 2020
Pterois miles,Greece,2017,Kriti: Plakias Beach,24.395664,35.179617,0, ,1,scuba diver,Dimitriadis et al. 2020
Pterois miles,Greece,2017,Kriti: kalypso fjord,24.400634,35.172151,28, ,1,Underwater photography with Scuba Dive,Dimitriadis et al. 2020
Pterois miles,Greece,2017,Kriti:  Kalypso Bay,24.401393,35.171868,5, ,1,Scuba diver,Dimitriadis et al. 2020
Pterois miles,Greece,2017,"Kriti: Karavos-Kalypso Beach, Plakias, Lyviko, Rethymno",24.401393,35.171868,3, ,1,Underwater photography with Scuba Dive,Dimitriadis et al. 2020
Pterois miles,Greece,2017,"Kriti: Damnoni, Rethymno",24.412027,35.170721,8, ,1,Underwater photography with Scuba Dive,Dimitriadis et al. 2020
Pterois miles,Greece,2017,Kriti: Schinaria Beach,24.415054,35.164958,20, ,1,scuba diver,Dimitriadis et al. 2020
Pterois miles,Greece,2017,Kriti: Kala Limania Beach,24.802379,34.930485,2, ,1,Spearfisherman,Dimitriadis et al. 2020
Pterois miles,Greece,2017,Kriti,24.802379,34.930485,2, ,1, ,Dimitriadis et al. 2020
Pterois miles,Greece,2017,Kriti: treis ekklisies,25.137108,34.953254,4, ,1,Spearfisherman,Dimitriadis et al. 2020
Pterois miles,Greece,2017,Kriti: Nea Myrtos. Ierapetra,25.581359,34.997229,20, ,1,Recreational fisher,Dimitriadis et al. 2020
Pterois miles,Greece,2017,Chrissi island,25.732321,35.002203,6, ,1,Spear-fishing,Dimitriadis et al. 2020
Pterois miles,Greece,2017,Kriti: Koufonisi Siteias,26.128635,34.92402,0, ,1,Spearfisherman,Dimitriadis et al. 2020
Pterois miles,Greece,2017,Kriti: Athrinolakos. Siteia,26.141408,35.006451,0, ,1,Spearfisherman,Dimitriadis et al. 2020
Pterois miles,Greece,2017,Kriti,26.146878,35.008553,0, ,1, ,Dimitriadis et al. 2020
